pitch,a,h,T
0.5,0.1,0.5,0.69242 
0.5,0.1,1,0.67668 
0.5,0.1,1.5,0.64480 
0.5,0.1,2,0.70264 
0.5,0.1,2.5,0.65611 
0.5,0.2,0.5,0.72955 
0.5,0.2,1,0.73890 
0.5,0.2,1.5,0.64070 
0.5,0.2,2,0.73555 
0.5,0.2,2.5,0.73588 
0.5,0.3,0.5,0.75720 
0.5,0.3,1,0.81409 
0.5,0.3,1.5,0.65274 
0.5,0.3,2,0.70865 
0.5,0.3,2.5,0.83854 
0.5,0.4,0.5,0.76721 
0.5,0.4,1,0.89421 
0.5,0.4,1.5,0.69445 
0.5,0.4,2,0.66106 
0.5,0.4,2.5,0.85519 
0.5,0.5,0.5,0.76318 
0.5,0.5,1,0.95394 
0.5,0.5,1.5,0.77281 
0.5,0.5,2,0.64155 
0.5,0.5,2.5,0.75860 
0.5,0.6,0.5,0.74771 
0.5,0.6,1,0.97214 
0.5,0.6,1.5,0.87438 
0.5,0.6,2,0.66979 
0.5,0.6,2.5,0.66589 
0.5,0.7,0.5,0.72601 
0.5,0.7,1,0.93740 
0.5,0.7,1.5,0.96378 
0.5,0.7,2,0.75262 
0.5,0.7,2.5,0.64200 
0.5,0.8,0.5,0.69858 
0.5,0.8,1,0.85587 
0.5,0.8,1.5,0.96630 
0.5,0.8,2,0.85958 
0.5,0.8,2.5,0.70119 
0.5,0.9,0.5,0.67033 
0.5,0.9,1,0.75016 
0.5,0.9,1.5,0.83751 
0.5,0.9,2,0.85718 
0.5,0.9,2.5,0.78569 
0.6,0.1,0.5,0.69001 
0.6,0.1,1,0.67477 
0.6,0.1,1.5,0.64257 
0.6,0.1,2,0.69976 
0.6,0.1,2.5,0.65557 
0.6,0.2,0.5,0.72851 
0.6,0.2,1,0.73951 
0.6,0.2,1.5,0.64109 
0.6,0.2,2,0.73468 
0.6,0.2,2.5,0.73406 
0.6,0.3,0.5,0.75783 
0.6,0.3,1,0.81563 
0.6,0.3,1.5,0.65525 
0.6,0.3,2,0.71026 
0.6,0.3,2.5,0.83866 
0.6,0.4,0.5,0.76737 
0.6,0.4,1,0.89190 
0.6,0.4,1.5,0.69244 
0.6,0.4,2,0.65845 
0.6,0.4,2.5,0.85406 
0.6,0.5,0.5,0.76314 
0.6,0.5,1,0.95220 
0.6,0.5,1.5,0.77018 
0.6,0.5,2,0.64016 
0.6,0.5,2.5,0.76204 
0.6,0.6,0.5,0.74830 
0.6,0.6,1,0.97218 
0.6,0.6,1.5,0.87199 
0.6,0.6,2,0.66847 
0.6,0.6,2.5,0.66797 
0.6,0.7,0.5,0.72597 
0.6,0.7,1,0.93782 
0.6,0.7,1.5,0.96262 
0.6,0.7,2,0.75091 
0.6,0.7,2.5,0.64336 
0.6,0.8,0.5,0.69892 
0.6,0.8,1,0.85631 
0.6,0.8,1.5,0.96676 
0.6,0.8,2,0.85884 
0.6,0.8,2.5,0.70060 
0.6,0.9,0.5,0.66925 
0.6,0.9,1,0.75004 
0.6,0.9,1.5,0.83749 
0.6,0.9,2,0.85822 
0.6,0.9,2.5,0.78534 
0.7,0.1,0.5,0.69066 
0.7,0.1,1,0.67800 
0.7,0.1,1.5,0.64594 
0.7,0.1,2,0.70314 
0.7,0.1,2.5,0.65794 
0.7,0.2,0.5,0.73045 
0.7,0.2,1,0.73839 
0.7,0.2,1.5,0.64123 
0.7,0.2,2,0.73543 
0.7,0.2,2.5,0.73257 
0.7,0.3,0.5,0.75612 
0.7,0.3,1,0.81092 
0.7,0.3,1.5,0.65554 
0.7,0.3,2,0.71041 
0.7,0.3,2.5,0.83693 
0.7,0.4,0.5,0.76714 
0.7,0.4,1,0.89113 
0.7,0.4,1.5,0.69410 
0.7,0.4,2,0.66321 
0.7,0.4,2.5,0.85772 
0.7,0.5,0.5,0.76310 
0.7,0.5,1,0.95151 
0.7,0.5,1.5,0.76904 
0.7,0.5,2,0.64122 
0.7,0.5,2.5,0.76489 
0.7,0.6,0.5,0.74864 
0.7,0.6,1,0.97200 
0.7,0.6,1.5,0.86981 
0.7,0.6,2,0.66704 
0.7,0.6,2.5,0.66974 
0.7,0.7,0.5,0.72636 
0.7,0.7,1,0.93898 
0.7,0.7,1.5,0.96149 
0.7,0.7,2,0.74971 
0.7,0.7,2.5,0.64177 
0.7,0.8,0.5,0.69911 
0.7,0.8,1,0.85690 
0.7,0.8,1.5,0.96707 
0.7,0.8,2,0.85805 
0.7,0.8,2.5,0.69886 
0.7,0.9,0.5,0.67010 
0.7,0.9,1,0.75007 
0.7,0.9,1.5,0.83904 
0.7,0.9,2,0.85781 
0.7,0.9,2.5,0.78561 
0.8,0.1,0.5,0.68944 
0.8,0.1,1,0.67833 
0.8,0.1,1.5,0.64582 
0.8,0.1,2,0.70310 
0.8,0.1,2.5,0.65839 
0.8,0.2,0.5,0.72894 
0.8,0.2,1,0.73689 
0.8,0.2,1.5,0.64208 
0.8,0.2,2,0.73536 
0.8,0.2,2.5,0.72973 
0.8,0.3,0.5,0.75433 
0.8,0.3,1,0.80856 
0.8,0.3,1.5,0.65307 
0.8,0.3,2,0.71056 
0.8,0.3,2.5,0.83488 
0.8,0.4,0.5,0.76578 
0.8,0.4,1,0.88811 
0.8,0.4,1.5,0.69255 
0.8,0.4,2,0.66449 
0.8,0.4,2.5,0.86034 
0.8,0.5,0.5,0.76314 
0.8,0.5,1,0.94975 
0.8,0.5,1.5,0.76601 
0.8,0.5,2,0.64300 
0.8,0.5,2.5,0.77004 
0.8,0.6,0.5,0.74901 
0.8,0.6,1,0.97258 
0.8,0.6,1.5,0.86680 
0.8,0.6,2,0.66696 
0.8,0.6,2.5,0.67140 
0.8,0.7,0.5,0.72634 
0.8,0.7,1,0.93968 
0.8,0.7,1.5,0.96080 
0.8,0.7,2,0.74679 
0.8,0.7,2.5,0.64204 
0.8,0.8,0.5,0.69988 
0.8,0.8,1,0.85798 
0.8,0.8,1.5,0.96773 
0.8,0.8,2,0.85723 
0.8,0.8,2.5,0.69867 
0.8,0.9,0.5,0.67014 
0.8,0.9,1,0.75075 
0.8,0.9,1.5,0.83924 
0.8,0.9,2,0.85857 
0.8,0.9,2.5,0.78574 
0.9,0.1,0.5,0.68947 
0.9,0.1,1,0.67729 
0.9,0.1,1.5,0.64572 
0.9,0.1,2,0.70233 
0.9,0.1,2.5,0.65711 
0.9,0.2,0.5,0.72802 
0.9,0.2,1,0.73506 
0.9,0.2,1.5,0.64257 
0.9,0.2,2,0.73532 
0.9,0.2,2.5,0.72742 
0.9,0.3,0.5,0.75486 
0.9,0.3,1,0.80702 
0.9,0.3,1.5,0.65290 
0.9,0.3,2,0.71250 
0.9,0.3,2.5,0.82949 
0.9,0.4,0.5,0.76543 
0.9,0.4,1,0.88532 
0.9,0.4,1.5,0.69067 
0.9,0.4,2,0.66665 
0.9,0.4,2.5,0.86059 
0.9,0.5,0.5,0.76297 
0.9,0.5,1,0.94741 
0.9,0.5,1.5,0.76288 
0.9,0.5,2,0.64365 
0.9,0.5,2.5,0.77541 
0.9,0.6,0.5,0.74900 
0.9,0.6,1,0.97176 
0.9,0.6,1.5,0.86397 
0.9,0.6,2,0.66487 
0.9,0.6,2.5,0.67388 
0.9,0.7,0.5,0.72690 
0.9,0.7,1,0.94113 
0.9,0.7,1.5,0.95942 
0.9,0.7,2,0.74477 
0.9,0.7,2.5,0.64130 
0.9,0.8,0.5,0.69965 
0.9,0.8,1,0.86019 
0.9,0.8,1.5,0.96857 
0.9,0.8,2,0.85614 
0.9,0.8,2.5,0.69769 
0.9,0.9,0.5,0.67017 
0.9,0.9,1,0.75129 
0.9,0.9,1.5,0.84041 
0.9,0.9,2,0.85903 
0.9,0.9,2.5,0.78569 
1,0.1,0.5,0.68883 
1,0.1,1,0.67697 
1,0.1,1.5,0.64622 
1,0.1,2,0.70168 
1,0.1,2.5,0.65702 
1,0.2,0.5,0.72722 
1,0.2,1,0.73294 
1,0.2,1.5,0.64418 
1,0.2,2,0.73764 
1,0.2,2.5,0.72473 
1,0.3,0.5,0.75429 
1,0.3,1,0.80558 
1,0.3,1.5,0.65344 
1,0.3,2,0.71354 
1,0.3,2.5,0.82802 
1,0.4,0.5,0.76586 
1,0.4,1,0.88171 
1,0.4,1.5,0.68950 
1,0.4,2,0.66942 
