period,f,h,T
0.4,0.1,0.4,0.678368209
0.4,0.1,0.6,0.702901495
0.4,0.1,0.8,0.702151797
0.4,0.1,1,0.67682628
0.4,0.1,1.2,0.64966726
0.4,0.1,1.4,0.638269524
0.4,0.1,1.6,0.66058577
0.4,0.1,1.8,0.6838031
0.4,0.1,2,0.702310559
0.4,0.1,2.2,0.697176404
0.4,0.1,2.4,0.668650289
0.4,0.1,2.6,0.648565305
0.4,0.1,2.8,0.639622243
0.4,0.1,3,0.662432613
0.4,0.3,0.4,0.720696309
0.4,0.3,0.6,0.795849662
0.4,0.3,0.8,0.840816164
0.4,0.3,1,0.816076383
0.4,0.3,1.2,0.742545433
0.4,0.3,1.4,0.675062862
0.4,0.3,1.6,0.643031922
0.4,0.3,1.8,0.651404352
0.4,0.3,2,0.704517588
0.4,0.3,2.2,0.780528193
0.4,0.3,2.4,0.836228058
0.4,0.3,2.6,0.825794763
0.4,0.3,2.8,0.756764682
0.4,0.3,3,0.685687971
0.4,0.5,0.4,0.719937701
0.4,0.5,0.6,0.812304281
0.4,0.5,0.8,0.908355049
0.4,0.5,1,0.95493859
0.4,0.5,1.2,0.917170665
0.4,0.5,1.4,0.824076346
0.4,0.5,1.6,0.729015608
0.4,0.5,1.8,0.665504004
0.4,0.5,2,0.640912954
0.4,0.5,2.2,0.657357801
0.4,0.5,2.4,0.713890206
0.4,0.5,2.6,0.804637937
0.4,0.5,2.8,0.902545865
0.4,0.5,3,0.954072962
0.4,0.7,0.4,0.694850999
0.4,0.7,0.6,0.762213129
0.4,0.7,0.8,0.849533227
0.4,0.7,1,0.936565256
0.4,0.7,1.2,0.992579457
0.4,0.7,1.4,0.989096893
0.4,0.7,1.6,0.928118259
0.4,0.7,1.8,0.839204841
0.4,0.7,2,0.753070988
0.4,0.7,2.2,0.688622423
0.4,0.7,2.4,0.650438964
0.4,0.7,2.6,0.639721779
0.4,0.7,2.8,0.657510521
0.4,0.7,3,0.701315685
0.4,0.9,0.4,0.658967731
0.4,0.9,0.6,0.682248464
0.4,0.9,0.8,0.712611496
0.4,0.9,1,0.749074217
0.4,0.9,1.2,0.787587285
0.4,0.9,1.4,0.823483926
0.4,0.9,1.6,0.84995943
0.4,0.9,1.8,0.861423525
0.4,0.9,2,0.857504521
0.4,0.9,2.2,0.836077975
0.4,0.9,2.4,0.804020034
0.4,0.9,2.6,0.766446435
0.4,0.9,2.8,0.729652712
0.4,0.9,3,0.694713831
0.5,0.1,0.5,0.692419631
0.5,0.1,0.8,0.703625532
0.5,0.1,0.9,0.691436609
0.5,0.1,1,0.676675215
0.5,0.1,1.1,0.662095392
0.5,0.1,1.2,0.650131878
0.5,0.1,1.3,0.642037093
0.5,0.1,1.4,0.641188184
0.5,0.1,1.5,0.644804404
0.5,0.1,1.6,0.653647804
0.5,0.1,2,0.702641708
0.5,0.1,2.5,0.656105369
0.5,0.1,3,0.660422361
0.5,0.1,3.5,0.702956325
0.5,0.1,4,0.643669294
0.5,0.1,4.5,0.680607661
0.5,0.1,5,0.689668127
0.5,0.1,5.5,0.639820907
0.5,0.1,6,0.697591532
0.5,0.2,0.5,0.729554615
0.5,0.2,1,0.738896428
0.5,0.2,1.5,0.640701598
0.5,0.2,2,0.735553314
0.5,0.2,2.5,0.735883135
0.5,0.2,3,0.640838282
0.5,0.2,3.5,0.738637724
0.5,0.2,4,0.733539371
0.5,0.2,4.5,0.640999143
0.5,0.2,5,0.742292143
0.5,0.2,5.5,0.730361109
0.5,0.2,6,0.640160463
0.5,0.3,0.5,0.75719847
0.5,0.3,0.8,0.839472602
0.5,0.3,0.9,0.837019807
0.5,0.3,1,0.814091891
0.5,0.3,1.1,0.779983799
0.5,0.3,1.2,0.7413017
0.5,0.3,1.3,0.704643595
0.5,0.3,1.4,0.677190456
0.5,0.3,1.5,0.652722441
